SOL,TARGET_CCA,TARGET,TARGET_MSL,EASTING_M,NORTHING_M,ELEV_M,LATITUDE,LONGITUDE
72,Kilian,Kilian,Kilian_CCAM_pointing,8147205.66,-272070.139,-4517.582736,-4.589987809,137.4482874
72,Schmutz2,Schmutz2,Schmutz_002_ccam_pointing,8147206.901,-272070.7732,-4517.727687,-4.589998508,137.4483083
74,Crestaurum,Crestaurum,Crestaurum_CCAM_Pointing,8147206.463,-272068.6569,-4517.472627,-4.589962805,137.4483009
75,Crestaurum_1,Crestaurum,Crestaurum_CCAM_Pointing,8147206.463,-272068.6569,-4517.472627,-4.589962805,137.4483009
76,Zephyr_ZS,Zephyr,Zephyr_CCAM_pointing,8147206.411,-272068.809,-4517.463995,-4.589965371,137.4483001
77,Kilian_1,Kilian,Kilian_1_ccam_pointing,8147205.681,-272070.1365,-4517.585101,-4.589987767,137.4482877
77,Pearson_DP,Pearson,Pearson,8147208.727,-272066.6995,-4517.033589,-4.589929782,137.4483391
77,Rocknest3_DP,Rocknest3,Rocknest_6_sol59_ccam_pointing,8147206.928,-272068.3237,-4517.367128,-4.589957184,137.4483088
79,Epworth2,Epworth,Epworth_CCAM_pointing,8147206.875,-272070.7758,-4517.700836,-4.589998552,137.4483079
79,Pearson_2,Pearson,Pearson1_ccam_pointing,8147208.677,-272066.6319,-4516.999236,-4.589928642,137.4483383
79,Walsh,Walsh,Walsh_ccam_pointing,8147211.498,-272067.6063,-4517.205562,-4.58994508,137.4483859
82,Kenyon,Kenyon,Kenyon_CCAM_pointing,8147206.909,-272070.7857,-4517.725247,-4.589998719,137.4483085
82,Rocknest3_1,Rocknest3,Rocknest_3a_start_pointing,8147205.331,-272071.2476,-4517.596525,-4.590006512,137.4482818
84,Crestaurum_2,Crestaurum,Crestaurum2_CCAM_pointing,8147206.465,-272068.6619,-4517.475036,-4.589962889,137.448301
84,Rocknest3_2,Rocknest3,Rocknest_3a_start_pointing,8147205.331,-272071.2476,-4517.596525,-4.590006512,137.4482818
85,Epworth_3,Epworth,Epworth_3_CCAM_pointing,8147206.887,-272070.7681,-4517.717284,-4.589998421,137.4483081
88,Rocknest_3_Top1,Rocknest3,Rocknest_3_Top1_br_CCAM_pointing,8147205.279,-272071.177,-4517.534322,-4.590005321,137.448281
88,Rocknest6a,Rocknest6,Rocknest_6a_CCAM_pointing,8147206.948,-272068.3646,-4517.383212,-4.589957873,137.4483091
88,Rocknest6b,Rocknest6,Rocknest_6b_CCAM_pointing,8147206.916,-272068.3253,-4517.369356,-4.58995721,137.4483086
90,Portage,Portage,Portage_CCAM_Pointing_3.5mrad,8147206.765,-272071.4849,-4517.784487,-4.590010514,137.448306
90,Rocknest_3_Top1,Rocknest3,Rocknest_3_Top1_br_CCAM_pointing,8147205.279,-272071.177,-4517.534322,-4.590005321,137.448281
97,Coppermine,Coppermine,Coppermine_ccam_pointing,8147204.923,-272067.7958,-4517.612324,-4.589948277,137.4482749
97,Kenyon_HighAlbedo,Kenyon,Kenyon_highalbedo_ccam_pointing,8147206.906,-272070.7876,-4517.724458,-4.589998751,137.4483084
104,Acasta,Acasta,Acasta,8147232.201,-272071.1444,-4518.381417,-4.590004771,137.4487352
111,Amagok,Amagok,Amagok,8147233.283,-272070.6443,-4518.1559,-4.589996334,137.4487534
111,Asiak,Asiak,Asiak,8147233.367,-272072.481,-4518.25801,-4.590027321,137.4487548
111,Duncan_Lake,Duncan_Lake,Duncan Lake CCAM2,8147231.931,-272067.9452,-4518.074509,-4.589950798,137.4487306
113,Bell_Island_1,Bell_Island,Bell_Island_1,8147231.043,-272065.5711,-4517.938669,-4.589910745,137.4487156
114,Jackson_Lake,Jackson_Lake,Jackson_Lake,8147232.453,-272066.827,-4517.944903,-4.589931934,137.4487394
114,Patterson_Lake,Patterson_Lake,Patterson_Ccam_start_pointing,8147231.117,-272068.7282,-4518.284041,-4.589964008,137.4487169
116,Duncan_Lake_vertical_start,Duncan_Lake,Duncan_Lake_vertical_start,8147231.92,-272067.921,-4518.081765,-4.58995039,137.4487304
116,Ingraham,Ingraham,Ingraham,8147232.218,-272063.0497,-4517.835684,-4.589868208,137.4487354
116,Kiwi_Lake_safe,Kiwi_Lake,Kiwi_Lake_safe,8147230.57,-272070.3745,-4518.474394,-4.589991782,137.4487076
117,Jackson_Lake_2,Jackson_Lake,JL2_CCAM_pointing,8147232.448,-272066.883,-4517.958816,-4.589932878,137.4487393
117,Jackson_Lake_3,Jackson_Lake,JL3_CCAM_pointing,8147232.434,-272066.8347,-4517.937385,-4.589932063,137.4487391
117,McTavish,McTavish,McTavish,8147230.149,-272068.8065,-4518.479948,-4.589965329,137.4487005
119,Ingraham,Ingraham,Ingraham,8147232.218,-272063.0497,-4517.835684,-4.589868208,137.4487354
119,Rifle,Rifle,Rifle,8147230.356,-272062.0712,-4517.922443,-4.589851701,137.448704
121,Port_Radium_1,Port_Radium,Port_Radium_1,8147238.258,-272099.4921,-4518.168791,-4.590483013,137.4488373
121,Port_Radium_2,Port_Radium,Port_Radium_2,8147238.338,-272099.5486,-4518.178995,-4.590483967,137.4488387
121,Stanbridge,Stanbridge,Stanbridge,8147237.986,-272100.3551,-4518.090921,-4.590497573,137.4488328
122,Kikerk,Kikerk,Kikerk,8147256.904,-272086.9352,-4518.741064,-4.59027117,137.4491519
123,Kanyuak,Kanyuak,Kanyuak,8147252.265,-272084.2698,-4518.595999,-4.590226203,137.4490736
123,Kapvik,Kapvik,Kapvik,8147253.465,-272084.2465,-4518.363079,-4.590225811,137.4490939
124,Kahochella,Kahochella,Kahochella,8147272.473,-272073.8222,-4519.692965,-4.590049946,137.4494146
124,Keskarah,Keskarah,Keskarah,8147272.457,-272073.5879,-4519.776803,-4.590045993,137.4494143
125,Crest,Crest,Crest,8147267.498,-272063.3024,-4520.092736,-4.589872472,137.4493306
125,Discovery_Creek,Discovery_Creek,Discovery_Creek,8147269.242,-272058.9975,-4520.402113,-4.589799846,137.44936
126,Beachrock,Beachrock,Beachrock,8147266.051,-272046.0352,-4520.795725,-4.589581162,137.4493062
126,Sheepbed,Sheepbed,Sheepbed,8147262.925,-272050.0302,-4520.32584,-4.589648562,137.4492535
127,Belcher,Belcher,Belcher,8147269.403,-272046.7276,-4521.067918,-4.589592845,137.4493628
129,Flaherty,Flaherty,Flaherty,8147271.959,-272023.4539,-4521.326608,-4.589200202,137.4494059
129,Richardson,Richardson,Richardson_Chemcam,8147272.279,-272023.3678,-4521.306625,-4.58919875,137.4494113
130,Barn_2,Barn,Barn_2,8147271.261,-272020.8591,-4521.059366,-4.589156427,137.4493941
130,Flaherty_2,Flaherty,Flaherty_2,8147271.938,-272023.4396,-4521.321688,-4.589199962,137.4494055
